section,offence,description
273,Compensation for accusation without reasonable cause,"(1) If, in any case instituted upon complaint or upon information given to a police officer or to a Magistrate, one or more persons is or are accused before a Magistrate of any offence triable by a Magistrate, and the Magistrate by whom the case is heard discharges or acquits all or any of the accused, and is of opinion that there was no reasonable ground for making the accusation against them or any of them, the Magistrate may, by his order of discharge or acquittal, if the person upon whose complaint or information the accusation was made is present, call upon him forthwith to show cause why he should not pay compensation to such accused or to each or any of such accused when there are more than one; or, if such person is not present, direct the issue of a summons to him to appear and show cause as aforesaid. (2) The Magistrate shall record and consider any cause which such complainant or informant may show, and if he is satisfied that there was no reasonable ground for making the accusation, may, for reasons to be recorded, make an order that compensation to such amount, not exceeding the amount of fine he is empowered to impose, as he may determine, be paid by such complainant or informant to the accused or to each or any of them. (3) The Magistrate may, by the order directing payment of the compensation under sub-section (2), further order that, in default of payment, the person ordered to pay such compensation shall undergo simple imprisonment for a period not exceeding thirty days."
274,Substance of accusation to be stated,"When in a summons -case the accused appears or is brought before the Magistrate, the particulars of the offence of which he is accused shall be stated to him, and he shall be asked whether he pleads guilty or has any defence to make, but it shall not be necessary to frame a formal charge: Provided that if the Magistrate considers the accusation as groundless, he shall, after recording reasons in writing, release the accused and such release shall have the effect of discharge."
275,Conviction on plea of guilty,"If the accused pleads guilty, the Magistrate shall record the plea as nearly as possible in the words used by the accused and may, in his discretion, convict him thereon."
276,Conviction on plea of guilty in absence of accused in petty cases,"(1) Where a summons has been issued under section 229 and the accused desires to plead guilty to the charge without appearing before the Magistrate, he shall transmit to the Magistrate, by post or by messenger, a letter containing his plea and also the amount of fine specified in the summons. (2) The Magistrate may, in his discretion, convict the accused in his absence, on his plea of guilty and sentence him to pay the fine specified in the summons, and the amount transmitted by the accused shall be adjusted towards that fine, or where an advocate authorised by the accused in this behalf pleads guilty on behalf of the accused, the Magistrate shall record the plea as nearly a s possible in the words used by the advocate and may, in his discretion, convict the accused on such plea and sentence him as aforesaid."
277,Procedure when not convicted,"(1) If the Magistrate does not convict the accused under section 275 or section 276, the Magistrate shall proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution, and also to hear the accused and take all such evidence as he produces in his defence. (2) The Magistrate may, if he thinks f it, on the application of the prosecution or the accused, issue a summons to any witness directing him to attend or to produce any document or other thing. (3) The Magistrate may, before summoning any witness on such application, require that the reasonable expenses of the witness incurred in attending for the purposes of the trial be deposited in Court."
278,Acquittal or conviction,"(1) If the Magistrate, upon taking the evidence referred to in section 277 and such further evidence, if any, as he may, of his own motion, cause to be produced, finds the accused not guilty, he shall record an order of acquittal. (2) Where the Magistrate does not proceed in accordance with the provisions of section 364 or section 401, he shall, if he finds the accused guilty, pass sentence upon him according to law. (3) A Magistrate may, under section 275 or section 278, convict the accused of any offence triable under this Chapter, which from the facts admitted or proved he appears to have committed, whatever may be the nature of the complaint or summons, if the Magistrate is satisfied that the accused would not be prejudiced thereby."
279,Non-appearance or death of complainant,"(1) If the summons has been issued on complaint, and on the day appointed for the appearance of the accused, or any day subsequent thereto to which the hearing may be adjourned, the complainant does not appear, the Magistrate shall, after giving thirty days ’ time to the complainant to be present, notwithstanding anything hereinbefore contained, acquit the accused, unless for some reason he thinks it proper to adjourn the hearing of the case to some other day: Provided that where the complainant is represented by an advocate or by the officer conducting the prosecution or where the Magistrate is of opinion that the personal attendance of the complainant is not necessary, the Magistrate may, dispense with his attendance and proceed with the case. (2) The provisions of sub -section ( 1) shall, so far as may be, apply also to cases where the non-appearance of the complainant is due to his death."
280,Withdrawal of complaint,"If a complainant, at any time before a final order is passed in any case under this Chapter, satisfies the Magistrate that there are sufficient grounds for permitting him to withdraw his complaint against the accused, or if there be more than one accused, against all or any of them, the Magistrate may permit him to withdraw the same, and shall thereupon acquit the accused against whom the complaint is so withdrawn."
281,Power to stop proceedings in certain cases,"In any summons -case instituted otherwise than upon complaint, a Magistrate of the first class or, with the previous sanction of the Chief Judicial Magistrate, any other Judicial Magistrate, may, for reasons to be recorded by him, stop the proceedings at any stage without pronouncing any judgment and where such stoppage of proceedings is made after the evidence of the principal witnesses has been recorded, pronounce a judgment of acquittal, and in any other case, release the accused, and such release shall have the effect of discharge."
282,Power of Court to convert summonscases into warrant-cases,"When in the course of the trial of a summons-case relating to an offence punishable with imprisonment for a term exceeding six months, it appears to the Magistrate that in the interests of justice, the offence should be tried in accordance with the procedure for the trial of warrant-cases, such Magistrate may proceed to re-hear the case in the manner provided by this Sanhita for the trial of warrant -cases and may recall any witness who may have been examined. SUMMARY TRIALS"
283,Power to try summarily,"(1) Notwithstanding anything contained in this Sanhita— (a) any Chief Judicial Magistrate; (b) Magistrate of the first class, shall try in a summary way all or any of the following offences:— (i) theft, under sub-section (2) of section 303, section 305 or section 306 of the Bharatiya Nyaya Sanhita, 2023 where the value of the property stolen does not exceed twenty thousand rupees; (ii) receiving or retaining stolen property, under sub -section (2) of section 317 of the Bharatiya Nyaya Sanhita, 2023, where the value of the property does not exceed twenty thousand rupees; (iii) assisting in the concealment or disposal of stolen property under sub-section (5) of section 317 of the Bharatiya Nyaya Sanhita, 2023, where the value of such property does not exceed t wenty thousand rupees; (iv) offences under sub-sections (2) and (3) of section 331 of the Bharatiya Nyaya Sanhita, 2023; (v) insult with intent to provoke a breach of the peace, under section 352, and criminal intimidation, under sub-sections (2) and (3) of section 351 of the Bharatiya Nyaya Sanhita, 2023; (vi) abetment of any of the foregoing offences; (vii) an attempt to commit any of the foregoing offences, when such attempt is an offence; (viii) any offence constituted by an act in respect of which a co mplaint may be made under section 20 of the Cattle-trespass Act, 1871 (1 of 1871)."
284,Summary trial by Magistrate of second class,"The High Court may confer on any Magistrate invested with the powers of a Magistrate of the second class power to try summarily any offence which is punishable only with fine or with imprisonment for a term not exceeding six months with or without fine, and any abetment of or attempt to commit any such offence."
285,Procedure for summary trials,"(1) In trials under this Chapter, the procedure specified in this Sanhita for the trial of summons-case shall be followed except as hereinafter mentioned. (2) No sentence of imprisonment for a term exceeding three months shall be passed in the case of any conviction under this Chapter."
286,Record in summary trials,"In every case tried summarily, the Magistrate shall enter, in such form as the State Government may direct, the following particulars, namely:— (a) the serial number of the case; (b) the date of the commission of the offence; (c) the date of the report or complaint; (d) the name of the complainant (if any); (e) the name, parentage and residence of the accused; (f) the offence complained of and the offence (if any) proved, and in cases coming under clause (i), clause (ii) or clause (iii) of sub-section (1) of section 283, the value of the property in respect of which the offence has been committed; (g) the plea of the accused and his examination (if any); (h) the finding; (i) the sentence or other final order; (j) the date on which proceedings terminated."
287,Judgment in cases tried summarily,"In every case tried summarily in which the accused does not plead guilty, the Magistrate shall record the substance of the evidence and a judgment containing a brief statement of the reasons for the finding."
288,Language of record and judgment,"(1) Every such record and judgment shall be written in the language of the Court. (2) The High Court may authorise any Magistrate empowered to try offences summarily to prepare the aforesaid record or judgment or both by means of an officer appoint ed in this behalf by the Chief Judicial Magistrate, and the record or judgment so prepared shall be signed by such Magistrate. PLEA BARGAINING"
289,Application of Chapter,"(1) This Chapter shall apply in respect of an accused against whom— (a) the report has been forwarded by the officer in charge of the police station under section 193 alleging therein that an offence appears to have been committed by him other than an offence for which the punishment of death or of imprisonment for life or of imprisonment for a term exceeding seven years has been provided under the law for the time being in force; or (b) a Magistrate has taken cognizance of an offence on complaint, other than an offence for which the punishment of death or of imprisonment for life or of imprisonment for a term exceeding seven years, has been provided under the law for the time being in force, and after examining complainant and witnesses under section 223, issued the process under section 227, but does not apply where such of fence affects the socio -economic condition of the country or has been committed against a woman, or a child. (2) For the purposes of sub -section (1), the Central Government shall, by notification, determine the offences under the law for the time being in force which shall be the offences affecting the socio-economic condition of the country."
290,Application for plea bargaining,"(1) A person accused of an offence may file an application for plea bargaining within a period of thirty days from the date of framing of charge in the Court in which such offence is pending for trial. (2) The application under sub-section (1) shall contain a brief description of the case relating to which the application is filed including the offence to which the case relates and shall be accompanied by an affidavit sworn by the accused stating therein that he has voluntarily preferred, after understanding the nature and extent of punishment provided under the law for the offence, the plea bargaining in his case and that he has not previously been convicted by a Court in which he had been charged with the same offence. (3) After receiving the application under sub -section (1), the Court shall issue notice to the Public Prosecutor or the complainant of the case and to the accused to appear on the date fixed for the case."
291,Guidelines for mutually satisfactory disposition,"In working out a mutually satisfactory disposition under clause ( a) of sub -section ( 4) of section 290, the Court shall follow the following procedure, namely:— (a) in a case instituted on a police report, the Court shall issue notice to the Public Prosecutor, the police officer who has investigated the case, the accused and the victim of the case to participate in the meeting to work out a satisfactory disposition of the case: Provided that throughout such process of working out a satisfactory disposition of the case, it shall be the duty of the Court to ensure that the entire process is completed voluntarily by the parties participating in the meeting: Provided further that the accused, if he so desires, may participate in such meeting with his advocate, if any, engaged in the case; (b) in a case instituted otherwise than on police report, the Court shall issue notice to the accused and the victim of the case to participate in a meeting to work out a satisfactory disposition of the case: Provided that it shall be the duty of the Court to ensure, throughout such process of working out a satisfactory disposition of the case, that it is completed voluntarily by the parties participating in the meeting: Provided further that if the victim of the case or the accused so desires, he may participate in such meeting with his advocate engaged in the case."
292,Report of mutually satisfactory disposition to be submitted before Court,"Where in a meeting under section 291, a satisfactory disposition of the case has been worked out, the Court shall prepare a report of such disposition which shall be signed by the presiding officer of the Court and all other persons who participated in the meeting and if no such disposition has been worked out, the Court shall record such observation and proceed further in accordance with the provisions of this Sanhita from the stage the application under sub-section (1) of section 290 has been filed in such case."
293,Disposal of case,"Where a satisfactory disposition of the case has been worked out under section 292, the Court shall dispose of the case in the following manner, namely:— (a) the Court shall award the compensation to the victim in accordance with the disposition under section 292 and hear the parties on the quantum of the punishment, releasing of the accused on probation of good conduct or after admonition under section 401 or for dealing with the accused under the provisions of the Probation of Offenders Act, 1958 (20 of 1958) or any other law for the time being in force and follow the procedure specified in the succeeding clauses for imposing the punishment on the accused; (b) after hearing the parties under clause ( a), if the Court is of the view that section 401 or the provisions of the Probation of Offenders Act, 1958 (20 of 1958) or any other law for the time being in force are attracted in the case of the accused, it may release the accused on probation or provide the benefit of any such law; (c) after hearing the parties under clause (b), if the Court finds that minimum punishment has been provided under the law for the offence committed by the accused, it may sentence the accused to half of such minimum punishment, and where the accused is a first-time offender and has not been convicted of any offence in the past, it may sentence the accused to one-fourth of such minimum punishment; (d) in case after hearing the parties under clause (b), the Court finds that the offence committed by the accused is not covered under clause (b) or clause (c), then, it may sentence the accused to on"
294,Judgment of Court,The Court shall deliver its judgment in terms of section 293 in the open Court and the same shall be signed by the presiding officer of the Court.
295,Finality of judgment,The judgment delivered by the Court under this section shall be final and no appeal (except the special leave petition under article 136 and writ petition under articles 226 and 227 of the Constitution) shall lie in any Court against such judgment.
296,Power of Court in plea bargaining,"A Court shall have, for the purposes of discharging its functions under this Chapter, all the powers vested in respect of bail, trial of offences and other matters relating to the disposal of a case in such Court under this Sanhita."
297,Period of detention undergone by accused to be set off against sentence of imprisonment,"The provisions of section 468 shall apply, for setting off the period of detention undergone by the accused against the sentence of imprisonment imposed under this Chapter, in the same manner as they apply in respect of the imprisonment under other provisions of this Sanhita."
298,Savings,"The provisions of this Chapter shall have effect notwithstanding anything inconsistent therewith contained in any other provisions of this Sanhita and nothing in such other provisions shall be construed to constrain the meaning of any provision of this Chapter. Explanation.—For the purposes of this Chapter, the expression ""Public Prosecutor"" has the meaning assigned to it under clause ( v) of section 2 and includes an Assistant Public Prosecutor appointed under section 19."
299,Statements of accused not to be used,"Notwithstanding anything contained in any law for the time being in force, the statements or facts stated by an accused in an application for plea bargaining filed under section 290 shall not be used for any other purpose except for the purpose of this Chapter."
300,Non-application of Chapter,"Nothing in this Chapter shall apply to any juvenile or child as defined in section 2 of the Juvenile Justice (Care and Protection of Children) Act, 2015 (2 of 2016). ATTENDANCE OF PERSONS CONFINED OR DETAINED IN PRISONS"
301,Definitions,"In this Chapter,— (a) “detained” includes detained under any law providing for preventive detention; (b) “prison” includes,— (i) any place which has been declared by the State Government, by general or special order, to be a subsidiary jail; (ii) any reformatory, Borstal institution or other institution of a like nature."
302,Power to require attendance of prisoners,"(1) Whenever, in the course of an inquiry, trial or proceeding under this Sanhita, it appears to a Criminal Court,— (a) that a person confined or detained in a prison should be brought before the Court for answering to a charge of an offence, or for the purpose of any proceedings against him; or (b) that it is necessary for the ends of justice to examine such person as a witness, the Court may make an order requiring the officer in charge of the prison to produce such person before the Court answering to the charge or for the purpose of such proceeding or for giving evidence. (2) Where an order under sub -section (1) is made by a Magistrate of the second class, it shall not be forwarded to, or acted upon by, the officer in charge of the prison unless it is countersigned by the Chief Judicial Magistrate, to whom such Magistrate is subordinate. (3) Every order submitted for countersigning under sub-section (2) shall be accompanied by a statement of the facts which, in the opinion of the Magistrate, render the order necessary, and the Chief J udicial Magistrate to whom it is submitted may, after considering such statement, decline to countersign the order."
303,Power of State Government or Central Government to exclude certain persons from operation of section 302,"(1) The State Government or the Central Government, as the case may be, may, at any time, having regard to the matters specified in sub-section (2), by general or special order, direct that any person or class of persons shall not be removed from the prison in which he or they may be confined or detained, and thereupon, so long as the order remains in force, no order made under section 302, whether before or after the order of the State Government or the Central Government, shall have effect in respect of such person or class of persons. (2) Before making an order under sub-section (1), the State Government or the Central Government in the cases instituted by its central agency, as the case may be, shall have regard to the following matters, namely:— (a) the nature of the offence for which, or the grounds on which, the person or class of persons has been ordered to be confined or detained in prison; (b) the likelihood of the disturbance of public order if the person or class of persons is allowed to be removed from the prison; (c) the public interest, generally."
304,Officer in charge of prison to abstain from carrying out order in certain contingencies,"Where the person in respect of whom an order is made under section 302— (a) is by reason of sickness or infirmity unfit to be removed from the prison; or (b) is under committal for trial or under remand pending trial or pending a preliminary investigation; or (c) is in custody for a period which would expire before the expiration of the time required for complying with the order and for taking him back to the prison in which he is confined or detained; or (d) is a person to whom an order made by the State Government or the Central Government under section 303 applies, the officer in charge of the prison shall absta in from carrying out the Court's order and shall send to the Court a statement of reasons for so abstaining: Provided that where the attendance of such person is required for giving evidence at a place not more than twenty-five kilometres distance from the prison, the officer in charge of the prison shall not so abstain for the reason mentioned in clause (b)."
305,Prisoner to be brought to Court in custody,"Subject to the provisions of section 304, the officer in charge of the prison shall, upon delivery of an order made under sub -section (1) of section 302 and duly countersigned, where necessary, under sub -section (2) thereof, cause the person named in the order to be taken to the Court in which his attendance is required, so as to be present there at the t ime mentioned in the order, and shall cause him to be kept in custody in or near the Court until he has been examined or until the Court authorises him to be taken back to the prison in which he was confined or detained."
306,Power to issue commission for examination of witness in prison,"The provisions of this Chapter shall be without prejudice to the power of the Court to issue, under section 319, a commission for the examination, as a witness, of any person confined or detained in a prison; and the provisions of Part B of Chapter XXV shall apply in relation to the examination on commission of any such person in the prison as they apply in relation to the examination on commission of any other person. EVIDENCE IN INQUIRIES AND TRIALS A.—Mode of taking and recording evidence"
307,Language of Courts,"The State Government may determine what shall be, for purposes of this Sanhita, the language of each Court within the State other than the High Court."
308,Evidence to be taken in presence of accused,"Except as otherwise expressly provided, all evidence taken in the course of the trial or other proceeding shall be taken in the presence of the accused, or, when his personal attendance is dispensed with, in the presence of his advocate including through audio-video electronic means at the designated place to be notified by the State Government: Provided that where the evidence of a woman below the age of eighteen years who is alleged to have been subjected to rape or any other sexual offence, is to be recorded, the Court may take appropriate measures to ensure that such woman is not confronted by the accused while at the same time ensuring the right of cross-examination of the accused. Explanation.—In this section, “accused” includes a person in relation to whom any proceeding under Chapter IX has been commenced under this Sanhita."
309,Record in summonscases and inquiries,"(1) In all summons-cases tried before a Magistrate, in all inquiries under sections 164 to 167 (both inclusive), and in all proceedings under section 491 otherwise than in the course of a trial, the Magistrate shall, as the exa mination of each witness proceeds, make a memorandum of the substance of the evidence in the language of the Court: Provided that if the Magistrate is unable to make such memorandum himself, he shall, after recording the reason of his inability, cause such memorandum to be made in writing or from his dictation in open Court. (2) Such memorandum shall be signed by the Magistrate and shall form part of the record."
310,Record in warrant -cases,"(1) In all warrant -cases tried before a Magistrate, the evidence of each witness shall, as his examination proceeds, be taken down in writing either by the Magistrate himself or by his dictation in open Court or, where he is unable to do so owing to a physical or other incapacity, under his direction and superintendence, by an officer of the Court appointed by him in this behalf: Provided that evidence of a witness under this sub -section may also be recorded by audio-video electronic means in the presence of the advocate of the person accused of the offence. (2) Where the Magistrate causes the evidence to be taken down, he shall record a certificate that the evidence could not be taken down by himself for the reasons referred to in sub-section (1). (3) Such evidence shall ordinarily be taken down in the form of a narrative; but the Magistrate may, in his discretion take down, or cause to be taken down, any part of such evidence in the form of question and answer. (4) The evidence so taken down shall be signed by the Magistrate and shall form part of the record."
311,Record in trial before Court of Session,"(1) In all trials before a Court of Session, the evidence of each witness shall, as his examination proceeds, be taken down in writing either by the presiding Judge himself or by his dictation in open Court, or under his direction and superintendence, by an officer of the Court appointed by him in this behalf. (2) Such evidence shall ordinarily be taken down in the form of a narrative, but the presiding Judge may, in his discretion, take down, or cause to be taken down, an y part of such evidence in the form of question and answer. (3) The evidence so taken down shall be signed by the presiding Judge and shall form part of the record."
312,Language of record of evidence,"In every case where evidence is taken down under section 310 or section 311,— (a) if the witness gives evidence in the language of the Court, it shall be taken down in that language; (b) if he gives evidence in any other language, it may, if practicable, be taken down in that language, and if it is not practicable to do so, a true translation of the evidence in the language of the Court shall be prepared as the examination of the witness proceeds, signed by the Magistrate or presiding Judge, and shall form part of the record; (c) where under clause ( b) evidence is taken down in a language other than the language of the Court, a true translation thereof in the language of the Court shall be prepared as soon as practicable, signed by the Magistrate or presiding Judge, and shall form part of the record: Provided that when under clause (b) evidence is taken down in English and a translation thereof in the language of the Court is not required by any of the parties, the Court may dispense with such translation."
313,Procedure in regard to such evidence when completed,"(1) As the evidence of each witness taken under section 310 or section 311 is completed, it shall be read over to him in the presence of the accused, if in attendance, or of his advocate, if he appears by an advocate, and shall, if necessary, be corrected. (2) If the witness denies the correctness of any part of the evidence when the same is read over to him, the Magistrate or presiding Judge may, instead of correcting the evidence, make a memorandum thereon of the objection made to it by the witness and shall add such remarks as he thinks necessary. (3) If the record of the evidence is in a language different from that in which it has been given and the witness does not understand that language, the record shall be interpreted to him in the language in which it was given, or in a language which he understands."
314,Interpretation of evidence to accused or his advocate,"(1) Whenever any evidence is given in a language not understood by the accused, and he is present in Court in person, it shall be interpreted to him in open Court in a language understood by him. (2) If he appears by an advocate and the evidence is given in a language other than the language of the Court, and not understood by the advocate, it shall be interpreted to such advocate in that language. (3) When documents are put for the purpose of formal proof, it shall be in the discretion of the Court to interpret as much thereof as appears necessary."
315,Remarks respecting demeanour of witness,"When a presiding Judge or Magistrate has recorded the evidence of a witness, he shall also record such remarks (if any) as he thinks material respecting the demeanour of such witness whilst under examination."
316,Record of examination of accused,"(1) Whenever the accused is examined by any Magistrate, or by a Court of Session, the whole of such examination, including every question put to him and every answer given by him, shall be recorded in full by the presiding Judge or Magistrate himself or where he is unable to do so owing to a physical or other incapacity, under his direction and superintendence by an officer of the Court appointed by him in this behalf. (2) The record shall, if practicable, be in the language in which the accused is examined or, if that is not practicable, in the language of the Court. (3) The record shall be shown or read to the accused, or, if he does not understand the language in which it is written, shall be interpreted to him in a language which he understands, and he shall be at liberty to explain or add to his answers. (4) It shall thereafter be signed by the accused and by the Magistrate or presiding Judge, who shall certify under his own hand that the examination was taken in his presence and hearing and that the record contains a full and true account of the statement made by the accused: Provided that where the accused is in custody and is examined through electronic communication, his signature shall be taken within seventy-two hours of such examination. (5) Nothing in this section shall be deemed to apply to the examination of an accused person in the course of a summary trial."
317,Interpreter to be bound to interpret truthfully,"When the services of an interpreter are required by any Criminal Court for the interpretat ion of any evidence or statement, he shall be bound to state the true interpretation of such evidence or statement."
318,Record in High Court,"Every High Court may, by general rule, prescribe the manner in which the evidence of witnesses and the examination of the accused shall be taken down in cases coming before it, and such evidence and examination shall be taken down in accordance with such rule. B.—Commissions for the examination of witnesses"
319,When attendance of witness may be dispensed with and commission issued,"(1) Whenever, in the course of any inquiry, trial or other proceeding under this Sanhita, it appears to a Court or Magistrate that the examination of a witness is necessary for the ends of justice, and that the attendance of such witness cannot be procured without an amount of delay, expense or inconvenience which, under the circumstances of the case, would be unreasonable, the Court or Magistrate may dispense with such attendance and may issue a commission for the examination of the witness in accordance with the provisions of this Chapter: Provided that where the examination of the President or the Vice-President of India or the Governor of a State or the Administrator of a Union territory as a witness is necessary for the ends of justice, a commission shall be issued for the examination of such a witness. (2) The Court may, when issuing a commission for the examination of a witness for the prosecution, direct that such amount as the Court considers reasonable to meet the expenses of the accused, including the advocate's fees, be paid by the prosecution."
320,Commission to whom to be issued,"(1) If the witness is within the territories to which this Sanhita extends, the commission shall be directed to the Chief Judicial Magistrate within who se local jurisdiction the witness is to be found. (2) If the witness is in India, but in a State or an area to which this Sanhita does not extend, the commission shall be directed to such Court or officer as the Central Government may, by notification, specify in this behalf. (3) If the witness is in a country or place outside India and arrangements have been made by the Central Government with the Government of such country or place for taking the evidence of witnesses in relation to criminal matters, the commission shall be issued in such form, directed to such Court or officer, and sent to such authority for transmission as the Central Government may, by notification, prescribe in this behalf."
321,Execution of commissions,"Upon receipt of the commiss ion, the Chief Judicial Magistrate or such Magistrate as he may appoint in this behalf, shall summon the witness before him or proceed to the place where the witness is, and shall take down his evidence in the same manner, and may for this purpose exercise the same powers, as in trials of warrant-cases under this Sanhita."
322,Parties may examine witnesses,"(1) The parties to any proceeding under this Sanhita in which a commission is issued may respectively forward any interrogatories in writing which the C ourt or Magistrate directing the commission may think relevant to the issue, and it shall be lawful for the Magistrate, Court or officer to whom the commission, is directed, or to whom the duty of executing it is delegated, to examine the witness upon such interrogatories. (2) Any such party may appear before such Magistrate, Court or Officer by an advocate, or if not in custody, in person, and may examine, cross-examine and re-examine the said witness."
323,Return of commission,"(1) After any commission is sued under section 319 has been duly executed, it shall be returned, together with the deposition of the witness examined thereunder, to the Court or Magistrate issuing the commission; and the commission, the return thereto and the deposition shall be open at all reasonable times to inspection of the parties, and may, subject to all just exceptions, be read in evidence in the case by either party, and shall form part of the record. (2) Any deposition so taken, if it satisfies the conditions specified by sec tion 27 of the Bharatiya Sakshya Adhiniyam, 2023, may also be received in evidence at any subsequent stage of the case before another Court."
324,Adjournment of proceeding,"In every case in which a commission is issued under section 319, the inquiry, trial or other proceeding may be adjourned for a specified time reasonably sufficient for the execution and return of the commission."
325,Execution of foreign commissions,"(1) The provisions of section 321 and so much of section 322 and section 323 as relate to the execution of a commission and its return shall apply in respect of commissions issued by any of the Courts, Judges or Magistrates hereinafter mentioned as they apply to commissions issued under section 319. (2) The Courts, Judges and Magistrates referred to in sub-section (1) are— (a) any such Court, Judge or Magistrate exercising jurisdiction within an area in India to which this Sanhita does not extend, as the Central Government may, by notification, specify in this behalf; (b) any Court, Judge or Magistrate exercising jurisdiction in any such country or place outside India, as the Central Government may, by notification, specify in this behalf, and having authority, under the law in force in that country or place, to issue commissions for the examination of witnesses in relation to criminal matters."
326,Deposition of medical witness,"(1) The deposition of a civil surgeon or other medical witness, taken and attested by a Magistrate in the presence of the accused, or taken on commission under this Chapter, may be given in evidence in any inquiry, trial or other proceeding under this Sanhita, although the deponent is not called as a witness. (2) The Court may, if it thinks fit, and shall, on the application of the prosecution or the accused, summon and examine any such deponent as to the subject-matter of his deposition."
327,Identification report of Magistrate,"(1) Any document purporting to be a report of identification under the hand of an Executive Magistrate in respect of a person or property may be used as evidence in any inquiry, trial or other proceeding under this Sanhita, although such Magistrate is not called as a witness: Provided that where such report contains a statement of any suspect or witness to which the provisions of section 19, section 26, section 27, section 158 or section 160 of the Bharatiya Sakshya Adhiniyam, 2023, apply, such statement shall not be used under this sub-section except in accordance with the provisions of those sections. (2) The Court may, if it thinks fit, and shall, on the application of the prosecution or of the accused, summon and examine such Magistrate as to the subject-matter of the said report."
328,Evidence of officers of Mint,"(1) Any document purporting to be a report under the hand of a gazetted officer of any Mint or of any Note Printing Press or of any Security Printing Press (including the officer of the Controller of Stamps and Stationery) or of any Forensic Department or Division of Forensic Science Laboratory or any Government Examiner of Questi oned Documents or any State Examiner of Questioned Documents as the Central Government may, by notification, specify in this behalf, upon any matter or thing duly submitted to him for examination and report in the course of any proceeding under this Sanhita, may be used as evidence in any inquiry, trial or other proceeding under this Sanhita, although such officer is not called as a witness. (2) The Court may, if it thinks fit, summon and examine any such officer as to the subject-matter of his report: Provided that no such officer shall be summoned to produce any records on which the report is based."
329,Reports of certain Government scientific experts,"(1) Any document purporting to be a report under the hand of a Government scientific expert to whom this section applies, upon any matter or thing duly submitted to him for examination or analysis and report in the course of any proceeding under this Sanhita, may be used as evidence in any inquiry, trial or other proceeding under this Sanhita. (2) The Court may, if it thinks fit, summon and examine any such expert as to the subject-matter of his report. (3) Where any such expert is summoned by a Court, and he is unable to attend personally, he may, unless the Court has expressly directed him to appear personally, depute any responsible officer working with him to attend the Court, if such officer is conversant with the facts of the case and can satisfactorily depose in Court on his behalf. (4) This section applies to the following Government scientific experts, namely:— (a) any Chemical Examiner or Assistant Chemical Examiner to Government; (b) the Chief Controller of Explosives; (c) the Director of the Finger Print Bureau; (d) the Director, Haffkeine Institute, Bombay; (e) the Director, Deputy Director or Assistant Director of a Cen tral Forensic Science Laboratory or a State Forensic Science Laboratory; (f) the Serologist to the Government; (g) any other scientific expert specified or certified, by notification, by the State Government or the Central Government for this purpose."
330,No formal proof of certain documents,"(1) Where any document is filed before any Court by the prosecution or the accused, the particulars of every such document shall be included in a list and the prosecution or the accused or the advocate for the pro secution or the accused, if any, shall be called upon to admit or deny the genuineness of each such document soon after supply of such documents and in no case later than thirty days after such supply: Provided that the Court may, in its discretion, relax the time limit with reasons to be recorded in writing: Provided further that no expert shall be called to appear before the Court unless the report of such expert is disputed by any of the parties to the trial. (2) The list of documents shall be in such form as the State Government may, by rules, provide. (3) Where the genuineness of any document is not disputed, such document may be read in evidence in any inquiry, trial or other proceeding under this Sanhita without proof of the signature of the person by whom it purports to be signed: Provided that the Court may, in its discretion, require such signature to be proved."
331,Affidavit in proof of conduct of public servants,"When any application is made to any Court in the course of any inquiry, trial or oth er proceeding under this Sanhita, and allegations are made therein respecting any public servant, the applicant may give evidence of the facts alleged in the application by affidavit, and the Court may, if it thinks fit, order that evidence relating to such facts be so given."
332,Evidence of formal character on affidavit,"(1) The evidence of any person whose evidence is of a formal character may be given by affidavit and may, subject to all just exceptions, be read in evidence in any inquiry, trial or other proceeding under this Sanhita. (2) The Court may, if it thinks fit, and shall, on the application of the prosecution or the accused, summon and examine any such person as to the facts contained in his affidavit."
333,Authorities before whom affidavits may be sworn,"(1) Affidavits to be used before any Court under this Sanhita may be sworn or affirmed before— (a) any Judge or Judicial or Executive Magistrate; or (b) any Commissioner of Oaths appointed by a High Court or Court of Session; or (c) any notary appointed under the Notaries Act, 1952 (53 of 1952). (2) Affidavits shall be confined to, and shall state separately, such facts as the deponent is able to prove from his own knowledge and such facts as he has reasonable ground to believe to be true, and in the latter case, the deponent shall clearly state the grounds of such belief. (3) The Court may order any scandalous and irrelevant matter in the affidavit to be struck out or amended."
334,Previous conviction or acquittal how proved,"In any inquiry, trial or other proceeding under this Sanhita, a previous conviction or acquittal may be proved, in addition to any other mode provided by any law for the time being in force,— (a) by an extract certified under the hand of the officer having the custody of the records of the Court in which such conviction or acquittal was held, to be a copy of the sentence or order; or (b) in case of a conviction, either by a certificate signed by the officer in charge of the jail in which the punishment or any part thereof was undergone, or by production of the warrant of commitment under which the punishment was suffered, together with, in each of such cases, evidence as to the identity of the accused person with the person so convicted or acquitted."
